capacidad_mochila,5000000,,
id,valor,peso
1,749,649
2,688,588
3,779,679
4,836,736
5,146,46
6,300,200
7,669,569
8,1080,980
9,328,228
10,259,159
11,951,851
12,190,90
13,503,403
14,531,431
15,579,479
16,1042,942
17,524,424
18,400,300
19,357,257
20,1094,994
21,467,367
22,735,635
23,338,238
24,481,381
25,269,169
26,892,792
27,807,707
28,1068,968
29,691,591
30,264,164
31,562,462
32,609,509
33,475,375
34,1078,978
35,415,315
36,260,160
37,1071,971
38,258,158
39,954,854
40,712,612
41,1015,915
42,174,74
43,423,323
44,448,348
45,544,444
46,967,867
47,255,155
48,286,186
49,433,333
50,503,403
51,155,55
52,670,570
53,754,654
54,813,713
55,442,342
56,176,76
57,580,480
58,814,714
59,795,695
60,185,85
61,508,408
62,226,126
63,403,303
64,530,430
65,376,276
66,148,48
67,710,610
68,921,821
69,335,235
70,357,257
71,216,116
72,537,437
73,517,417
74,926,826
75,322,222
76,842,742
77,103,3
78,279,179
79,212,112
80,567,467
81,604,504
82,944,844
83,114,14
84,220,120
85,972,872
86,831,731
87,320,220
88,488,388
89,113,13
90,487,387
91,188,88
92,546,446
93,966,866
94,715,615
95,698,598
96,464,364
97,883,783
98,505,405
99,355,255
100,156,56
101,792,692
102,345,245
103,149,49
104,562,462
105,191,91
106,924,824
107,434,334
108,1003,903
109,997,897
110,820,720
111,857,757
112,378,278
113,868,768
114,1037,937
115,320,220
116,748,648
117,316,216
118,977,877
119,239,139
120,1092,992
121,587,487
122,815,715
123,802,702
124,450,350
125,803,703
126,257,157
127,311,211
128,1024,924
129,646,546
130,273,173
131,597,497
132,803,703
133,116,16
134,806,706
135,434,334
136,199,99
137,633,533
138,774,674
139,160,60
140,421,321
141,671,571
142,402,302
143,854,754
144,549,449
145,142,42
146,642,542
147,762,662
148,455,355
149,911,811
150,630,530
151,983,883
152,984,884
153,419,319
154,206,106
155,452,352
156,709,609
157,717,617
158,1031,931
159,1034,934
160,916,816
161,266,166
162,150,50
163,447,347
164,1069,969
165,371,271
166,690,590
167,695,595
168,867,767
169,631,531
170,198,98
171,444,344
172,358,258
173,496,396
174,513,413
175,294,194
176,888,788
177,405,305
178,866,766
179,229,129
180,1062,962
181,659,559
182,957,857
183,1029,929
184,1041,941
185,697,597
186,280,180
187,679,579
188,326,226
189,356,256
190,146,46
191,293,193
192,329,229
193,876,776
194,783,683
195,546,446
196,799,699
197,704,604
198,455,355
199,253,153
200,178,78
201,572,472
202,709,609
203,303,203
204,820,720
205,690,590
206,859,759
207,1085,985
208,466,366
209,125,25
210,938,838
211,557,457
212,823,723
213,362,262
214,103,3
215,704,604
216,695,595
217,218,118
218,818,718
219,710,610
220,574,474
221,367,267
222,906,806
223,368,268
224,498,398
225,404,304
226,384,284
227,914,814
228,624,524
229,276,176
230,521,421
231,565,465
232,636,536
233,754,654
234,621,521
235,103,3
236,310,210
237,1032,932
238,128,28
239,921,821
240,561,461
241,107,7
242,895,795
243,322,222
244,265,165
245,181,81
246,1068,968
247,704,604
248,857,757
249,261,161
250,1083,983
251,470,370
252,1007,907
253,360,260
254,632,532
255,147,47
256,1053,953
257,1029,929
258,921,821
259,202,102
260,728,628
261,272,172
262,718,618
263,207,107
264,469,369
265,1067,967
266,406,306
267,322,222
268,125,25
269,272,172
270,1017,917
271,1041,941
272,1034,934
273,225,125
274,457,357
275,1024,924
276,694,594
277,758,658
278,428,328
279,825,725
280,734,634
281,184,84
282,507,407
283,564,464
284,981,881
285,365,265
286,1063,963
287,726,626
288,552,452
289,769,669
290,730,630
291,178,78
292,769,669
293,596,496
294,1059,959
295,293,193
296,747,647
297,893,793
298,571,471
299,336,236
300,812,712
301,403,303
302,756,656
303,732,632
304,160,60
305,193,93
306,408,308
307,784,684
