capacidad_mochila,2500000,,
id,valor,peso
1,382,282
2,1008,908
3,716,616
4,400,300
5,374,274
6,687,587
7,1015,915
8,133,33
9,386,286
10,465,365
11,222,122
12,1071,971
13,916,816
14,1071,971
15,820,720
16,508,408
17,1050,950
18,768,668
19,992,892
20,139,39
21,245,145
22,862,762
23,422,322
24,985,885
25,849,749
26,278,178
27,378,278
28,199,99
29,513,413
30,239,139
31,870,770
32,615,515
33,522,422
34,945,845
35,152,52
36,1073,973
37,536,436
38,1038,938
39,277,177
40,1020,920
41,405,305
42,183,83
43,223,123
44,146,46
45,133,33
46,289,189
47,626,526
48,875,775
49,148,48
50,1006,906
51,707,607
52,166,66
53,983,883
54,628,528
55,103,3
56,140,40
57,796,696
58,378,278
59,1017,917
60,631,531
61,379,279
62,502,402
63,352,252
64,487,387
65,891,791
66,761,661
67,332,232
68,907,807
69,308,208
70,778,678
71,898,798
72,749,649
73,940,840
74,705,605
75,800,700
76,744,644
77,360,260
78,110,10
79,375,275
80,735,635
81,846,746
82,325,225
83,205,105
84,286,186
85,727,627
86,187,87
87,1032,932
88,738,638
89,828,728
90,1088,988
91,257,157
92,727,627
93,953,853
94,796,696
95,1065,965
96,415,315
97,205,105
98,713,613
99,366,266
100,814,714
101,1024,924
102,586,486
103,1078,978
104,784,684
105,819,719
106,1081,981
107,1015,915
108,683,583
109,520,420
110,758,658
111,387,287
112,149,49
113,633,533
114,216,116
115,563,463
116,525,425
117,253,153
118,392,292
119,310,210
120,225,125
121,769,669
122,833,733
123,237,137
124,1052,952
125,561,461
126,551,451
127,488,388
128,735,635
129,887,787
130,1023,923
131,714,614
132,651,551
133,928,828
134,482,382
135,291,191
136,615,515
137,323,223
138,437,337
139,718,618
140,165,65
141,1017,917
142,841,741
143,506,406
144,333,233
145,363,263
146,409,309
147,207,107
148,262,162
149,113,13
150,130,30
151,632,532
152,439,339
153,243,143
154,608,508
155,536,436
156,819,719
157,681,581
158,169,69
159,517,417
160,942,842
161,975,875
162,277,177
163,487,387
164,999,899
165,981,881
166,180,80
167,613,513
168,480,380
169,801,701
170,527,427
171,646,546
172,417,317
173,118,18
174,734,634
175,953,853
176,185,85
177,357,257
178,549,449
179,703,603
180,846,746
181,882,782
182,514,414
183,648,548
184,909,809
185,196,96
186,706,606
187,501,401
188,818,718
189,662,562
190,911,811
191,252,152
192,1061,961
193,995,895
194,666,566
195,384,284
196,996,896
197,350,250
198,470,370
199,922,822
200,216,116
201,873,773
202,974,874
203,451,351
204,778,678
205,1022,922
206,625,525
207,871,771
208,380,280
209,572,472
210,460,360
211,795,695
212,940,840
213,830,730
214,502,402
215,707,607
216,552,452
217,743,643
218,118,18
219,351,251
220,985,885
221,809,709
222,954,854
223,357,257
224,270,170
225,203,103
226,127,27
227,163,63
228,392,292
229,610,510
230,856,756
231,512,412
232,239,139
233,165,65
234,595,495
235,208,108
236,626,526
237,592,492
238,389,289
239,685,585
240,1082,982
241,199,99
242,362,262
243,492,392
244,814,714
245,590,490
246,867,767
247,876,776
248,468,368
249,249,149
250,101,1
251,774,674
252,254,154
253,417,317
254,121,21
255,556,456
256,177,77
257,908,808
258,680,580
259,504,404
260,454,354
261,369,269
262,586,486
263,800,700
264,580,480
265,971,871
266,951,851
267,779,679
268,150,50
269,915,815
270,815,715
271,815,715
272,149,49
273,152,52
274,176,76
275,986,886
276,934,834
277,373,273
278,841,741
279,227,127
280,594,494
281,232,132
282,278,178
283,309,209
284,293,193
285,622,522
286,588,488
287,1028,928
288,253,153
289,529,429
290,334,234
291,641,541
292,725,625
293,265,165
294,403,303
295,1017,917
296,958,858
297,672,572
298,590,490
299,331,231
300,994,894
301,514,414
302,824,724
303,476,376
304,970,870
305,294,194
306,828,728
307,775,675
308,839,739
309,802,702
310,404,304
311,714,614
312,741,641
313,706,606
314,295,195
315,813,713
316,840,740
317,169,69
318,613,513
319,769,669
320,665,565
321,441,341
322,289,189
323,431,331
324,136,36
325,443,343
326,800,700
327,736,636
328,696,596
329,523,423
330,944,844
331,145,45
332,475,375
333,809,709
334,439,339
335,665,565
336,918,818
337,727,627
338,767,667
339,668,568
340,731,631
341,562,462
342,534,434
343,938,838
344,150,50
345,738,638
346,688,588
347,968,868
348,579,479
